variable,(1) Raw,(1) Raw_se,(2) +Controls,(2) +Controls_se,(3) +Text,(3) +Text_se,(4) +FE,(4) +FE_se
sue_win,0.0054***,(0.0001),0.0053***,(0.0001),0.0050***,(0.0001),0.0053***,(0.0001)
size,,,-0.0018***,(0.0002),-0.0014***,(0.0003),-0.0085***,(0.0011)
btm,,,-0.0075***,(0.0020),-0.0071***,(0.0021),-0.0100*,(0.0053)
leverage,,,-0.0031,(0.0020),-0.0033,(0.0021),-0.0055,(0.0059)
roa,,,0.0471***,(0.0086),0.0390***,(0.0087),0.0467***,(0.0111)
loss,,,-0.0069***,(0.0010),-0.0054***,(0.0010),-0.0052***,(0.0012)
eps_vol,,,-0.0000***,(0.0000),-0.0000***,(0.0000),-0.0000***,(0.0000)
prep_lm_tone,,,,,0.2232***,(0.0598),0.8927***,(0.0816)
prep_lm_uncertainty,,,,,-0.2557***,(0.0933),-0.3800***,(0.1338)
prep_lm_negative,,,,,-0.2676**,(0.1055),0.0797,(0.1488)
prep_fog_index,,,,,-0.0003,(0.0003),-0.0012***,(0.0004)
qa_lm_tone,,,,,1.3181***,(0.0724),1.9653***,(0.0868)
qa_lm_uncertainty,,,,,1.0616***,(0.1150),0.4014***,(0.1276)
qa_fog_index,,,,,-0.0004,(0.0003),-0.0014***,(0.0003)
log_prep_wc,,,,,-0.0047***,(0.0009),-0.0053***,(0.0013)
log_qa_wc,,,,,-0.0018***,(0.0007),-0.0021**,(0.0009)
N,70033,,66683,,65961,,65961,
R²,0.0662,,0.0711,,0.0822,,0.1534,
Firm FE,No,,No,,No,,Yes,
Time FE,No,,No,,No,,Yes,
Clustered SE (firm),Yes,,Yes,,Yes,,Yes,
